task,dataset_source,dataset_type,variant,n_runs,n_success,mean_elapsed_seconds,median_elapsed_seconds,p25_elapsed_seconds,p75_elapsed_seconds,mean_elapsed_ratio_vs_default,median_elapsed_ratio_vs_default,mean_elapsed_speedup_vs_default,median_elapsed_speedup_vs_default,mean_depth,mean_max_depth,mean_features_used,mean_importance_nonzero_count,mean_precision_at_10,mean_recall_at_10,mean_f1_at_10,changes_statistical_rule
reg,real,real_diabetes,cit_no_bonferroni,5,5,0.022289844399998,0.0229679930000088,0.0199188229999975,0.0241177979999918,0.14131583345240006,0.15804063950510372,20.918875089021075,6.327486418249443,6.2,6.2,9.2,9.2,,,,True
reg,real,real_diabetes,cit_no_feature_mute,5,5,0.12678143819999543,0.1256759989999949,0.1256759470000048,0.127097073999991,0.8102794676027221,0.9935145812701658,3.7730823274347336,1.0065277539475495,5.0,5.0,4.0,4.0,,,,False
reg,real,real_diabetes,cit_no_feature_scan,5,5,0.6333532050000003,0.5352938590000065,0.4161743869999981,0.5417637569999982,2.978109525066982,3.2870597907241907,0.5114371009586114,0.30422324620377056,4.8,4.8,4.8,4.8,,,,False
reg,real,real_diabetes,cit_no_threshold_scan,5,5,0.6105513091999996,0.7247438010000025,0.358046630000004,0.8015300640000049,4.331876701621091,5.72422590447339,1.3966711481110825,0.17469611030174687,5.8,5.8,3.4,3.4,,,,False
reg,synthetic,reg_confounder,cit_default,5,5,21.766214783399995,21.963135308000005,19.35634590399999,24.91646248899997,1.0,1.0,1.0,1.0,8.6,8.6,12.8,12.8,0.5599999999999999,0.5599999999999999,0.5599999999999999,False
reg,synthetic,reg_confounder,cit_exact_thresholds,5,5,22.269356120400023,22.945368459000008,20.531318451000004,24.239754645000065,1.0341334339466468,1.0261134204459126,0.9790424554801147,0.9745511364284031,8.6,8.6,11.0,11.0,0.6,0.6,0.6,False
reg,synthetic,reg_confounder,cit_no_adaptive,5,5,3.953849185399983,2.8202007349999576,2.393158671000009,2.851470099999972,0.19082208103666448,0.11318624127502087,7.754782036406041,8.834996097893132,8.4,8.4,11.8,11.8,0.36,0.36,0.36000000000000004,False
reg,synthetic,reg_confounder,cit_no_bonferroni,5,5,1.0626315999999973,1.0893688200000042,0.9922818000000008,1.1484587720000263,0.05063638790632791,0.04517942388847211,21.032394993395307,22.133969713039168,14.0,14.0,90.4,90.4,0.52,0.52,0.52,True
reg,synthetic,reg_confounder,cit_no_feature_mute,5,5,21.131791024400012,21.919525512000007,16.99007089600002,25.08630744200002,0.9669608873438541,1.0008223010993162,1.0405666320441684,0.9991783745242158,8.6,8.6,12.8,12.8,0.5599999999999999,0.5599999999999999,0.5599999999999999,False
reg,synthetic,reg_confounder,cit_no_feature_scan,5,5,14.012939985200012,14.257572941999996,12.096014768000003,15.550111316000027,0.675063467293572,0.708009630589306,1.6339875344479313,1.4124101661832738,8.2,8.2,16.0,16.0,0.36,0.36,0.36000000000000004,False
reg,synthetic,reg_confounder,cit_no_threshold_scan,5,5,24.890684223599997,23.414773454000027,23.088934408,28.229112429999983,1.1567097653976306,1.1329502509620886,0.8758276522544877,0.882651289543218,9.0,9.0,12.4,12.4,0.5,0.5,0.5,False
reg,synthetic,reg_friedman,cit_default,5,5,13.575485256599993,13.019335598999987,12.637892382000018,13.56884209499998,1.0,1.0,1.0,1.0,6.8,6.8,5.2,5.2,0.4,0.8,0.5333333333333333,False
reg,synthetic,reg_friedman,cit_exact_thresholds,5,5,14.0237497142,14.21640665999996,13.559252311999984,14.717618123000022,1.0390439403941583,1.0729045557716765,0.9740766023428371,0.9320493557609693,7.2,7.2,5.6,5.6,0.4,0.8,0.5333333333333333,False
